2001WR5,0.628717,4.5523
2001XU4,0.16354,1.1861
2001FO127,0.158344,1.0293
2001DZ76,0.61416,3.7998
2001QN142,0.68473,5.2511
2001MS3,0.536069,3.2743
2001SS287,0.676604,5.4241
2001WV1,0.452161,2.0357
2001BO60,0.263952,2.042
2001HW7,0.512275,3.2835
2001XP31,0.385333,1.5881
2001VH5,0.186568,1.5116
2001BD16,0.680832,2.7185
2001UU92,0.667024,5.2894
2001ED18,0.057255,1.0458
2001WF49,0.370662,1.0309
2001HX7,0.508245,3.4175
2001SZ169,0.229492,1.6398
2001KD55,0.623769,5.424
2001QD34,0.510817,3.2306
2001SJ262,0.574827,4.6381
2001YP3,0.621748,4.0452
2001YX11,0.389516,2.4341
2001OF25,0.350922,2.1988
2001UE18,0.180182,1.6022
2001PJ29,0.391697,2.0148
2001QC34,0.187695,1.3405
2001TD,0.165972,1.1117
2001BX15,0.592613,3.0628
2001QM142,0.428285,1.764
2001BE16,0.403868,1.7618
2001VD2,0.579555,3.8248
2001BP61,0.325395,1.9707
2001SQ3,0.254554,1.3928
2001QM163,0.731196,4.0285
2001WK15,0.136863,1.297
2001WH2,0.426427,2.9123
2001BM61,0.180218,1.6165
2001XQ,0.721911,6.2356
2001YT3,0.465217,3.4737
2001XX4,0.556838,1.5669
2001FB58,0.358357,2.3612
2001WM15,0.593228,2.966
2001SJ9,0.378721,2.8313
2001SE270,0.481707,1.8005
2001WO15,0.494209,2.6966
2001KF54,0.650215,3.8601
2001SP263,0.542257,3.0894
2001ND13,0.435167,2.1628
2001QL163,0.442934,2.5409
2001BA16,0.137545,1.0694
2001DS8,0.514283,3.2204
2001DG47,0.327807,1.9205
2001NY1,0.540814,3.4613
2001FC58,0.343348,1.371
2001QE34,0.734478,3.7396
2001EC16,0.363986,1.8351
2001OV13,0.449942,2.8832
2001NE13,0.41968,2.9923
2001DC77,0.493141,3.816
2001EC,0.766275,4.5857
2001CP36,0.407066,1.0057
2001BF10,0.440775,2.3215
2001LD,0.375663,1.9538
2001BN61,0.464027,2.6758
2001UQ16,0.55714,4.2258
2001UP16,0.417853,3.1445
2001YD1,0.464483,2.1796
2001QJ96,0.797574,2.8616
2001GL2,0.647885,4.3546
2001VG16,0.431156,2.5111
2001UU16,0.415287,2.446
2001XK105,0.502019,3.1968
2001QK153,0.689367,4.1195
2001SR263,0.428667,3.2265
2001QP142,0.571241,3.7612
2001TY1,0.593701,3.8331
2001UT16,0.527547,3.3017
2001SL264,0.399934,2.9913
2001RO3,0.597945,3.9787
2001LD6,0.616555,4.4535
2001UP,0.287296,1.1375
2001DT8,0.467854,3.3292
2001VE76,0.515041,2.6417
2001VM5,0.578228,3.8129
2001QB34,0.417567,3.1265
2001VF75,0.555158,3.2422
2001FF90,0.627898,4.2172
2001QF96,0.362642,2.1052
2001PJ,0.498585,3.157
2001QO142,0.746842,3.7146
2001RA18,0.595803,4.1449
2001MD1,0.492984,3.1455
2001UD18,0.441762,2.5987
2001VC76,0.442233,2.5302
2001QJ142,0.086199,1.1536
2001VE2,0.18112,1.3059
2001TA2,0.64748,2.9188
2001FP32,0.335034,1.8185
2001WP15,0.185623,1.6561
2001YA1,0.471226,3.182
2001QE71,0.158579,1.2488
2001SY269,0.5974,2.6842
2001YM2,0.570546,3.7401
2001UZ4,0.552308,4.494
2001GR2,0.621798,3.0205
2001YC1,0.273479,1.5212
2001UF5,0.705065,3.9744
2001QE96,0.028073,1.3476
2001SC170,0.539153,3.4808
2001OE3,0.335475,2.1506
2001SQ263,0.491372,1.4128
2001QJ,0.465844,3.4334
2001PF14,0.409326,2.9882
2001MY7,0.636935,4.7556
2001FA58,0.719569,3.8806
2001JV1,0.435472,2.4471
2001SY169,0.408001,1.7271
2001YE1,0.500983,2.8709
2001VJ5,0.562028,3.0181
2001KM20,0.209187,1.4314
2001VF2,0.384928,2.518
2001TB2,0.226397,1.7914
2001SX269,0.34616,2.5312
